,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
1441,Zimmermann Bio Kalbfleisch Leberwurst,2.99,100 Gramm,Packung 800 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.374
1442,Eberswalder Bockwürstchen 10 Stück in Lake,4.99,100 Gramm,Folie 350 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.43
1443,Jonas Original polnische Krakauer,2.79,100 Gramm,Glas 540 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.52
1444,Eidmann Original Frankfurter Würstchen,43.13,100 Gramm,Folie 6170 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.6990000000000001
1445,Roldrob Frische polnische Hafermastgans,1.99,100 Gramm,Packung 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.8
1446,Roldrob Frische Junge Gans,1.29,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.29
1447,Weimarer Thüringen Weimarer Frühstücksknacker würzig-fein,3.99,100 Gramm,Packung 800 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.499
1448,Kupfer Steinofen Leberkäse grob,1.49,100 Gramm,Glas 380 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.39
1449,"Albus Wiener Würstchen im Naturdarm, 16 Stück",1.89,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.89
1450,Meica Snibbels,1.39,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.39
