,Name,Price,Price per,Unit,Packet Size,Supermarket
2966,"Grandessa Premium Stieleis Buttermilch-Kirsch, 3 x 120 ml","0,99 €","0,28 €",Preis pro 100 ml,(Packung 360 ML),aldi-sued
2967,"Grandessa Premium Stieleis Joghurt-Erdbeer, 3 x120 ml","0,99 €","0,28 €",Preis pro 100 ml,(Packung 360 ML),aldi-sued
2968,"St. Ruperti Weichkäse mit Edelschimmel Pfeffer,  70% Fett","0,99 €","0,28 €",Preis pro 100 ml,(Packung 360 ML),aldi-sued
2969,"St. Ruperti Weichkäse mit Edelschimmel Knoblauch, 70% Fett","1,09 €","0,73 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2970,St. Ruperti Weichkäse mit Edelschimmel 70 % Fett,"1,09 €","0,73 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2971,"Il Tizio Eiskrem-Spezialitätenbecher Spaghetti Eis, 3 Becher - 3 x 170 ml","1,09 €","0,73 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2972,"Il Tizio Eiskrem-Spezialitätenbecher Vanille Karamell, 3 x 170 ml","1,59 €","3,12 €",Preis pro 1 Liter,(Packung 510 ML),aldi-sued
2973,Desira Milch Reis Vanilla,"1,59 €","3,12 €",Preis pro 1 Liter,(Packung 510 ML),aldi-sued
2974,"Desira Edler Sahne Joghurt Mango, extra cremig, 10 % Fett im Milchanteil.","0,29 €","0,15 €",Preis pro 100 Gramm,(Becher 200 Gramm),aldi-sued
2975,"Aldi Süd Rostbratwurst nach franzöischer Art, 8 Stück","0,39 €","0,26 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2976,American Hot Dogs 2 x 140 g,"1,99 €","6,03 €",Preis pro 1 KG,(Packung 330 Gramm),aldi-sued
2977,"American Wraps Sour Cream, 2 x 150 g","1,79 €","0,64 €",Preis pro 100 Gramm,(Packung 280 Gramm),aldi-sued
