,Name,Price,Price per,Unit,Packet Size,Supermarket
3000,Gutfried Geflügel Schinkenwurst und Fleischwurst 2 x 175 g,"6,99 €","9,99 €",Preis pro 1 Liter,(),lidl
3001,"Frico Mai Gouda Original geschitten, 48 % Fett","1,99 €","0,57 €",Preis pro 100 Gramm,(Packung 350 Gramm),lidl
3002,Knorr Grill Marinade Chili Knoblauch,"1,99 €","0,88 €",Preis pro 100 Gramm,(Folie 225 Gramm),lidl
3003,Bürger Fitness Maultaschen,"2,89 €","0,96 €",Preis pro 100 Gramm,(Packung 300 Gramm),lidl
3004,Dr. Oetker Mohn Back backfertige Mohnfüllung,"3,49 €","9,31 €",Preis pro 1 KG,(Glas 375 Gramm),lidl
3005,Jermi Käseria  Ofen Creme mediterrane Paprika,"2,29 €","0,92 €",Preis pro 100 Gramm,(Packung 250 Gramm),lidl
3006,Haribo Frohe Weihnachten,"1,49 €","0,99 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
3007,Netto Jumbo Erdnüsse,"0,79 €","0,40 €",Preis pro 100 Gramm,(Beutel 200 Gramm),lidl
3008,Jacobs Auslese Klassisch,"1,39 €","3,48 €",Preis pro 1 KG,(Beutel 400 Gramm),lidl
3009,Dr. Oetker Tassen Küchlein Nougat,"2,89 €","0,83 €",Preis pro 100 Gramm,(Packung 350 Gramm),lidl
3010,Dr. Oetker Tassen Küchlein Schoko,"1,79 €","1,19 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
3011,Bergader Almkäse cremig würzig,"1,79 €","1,19 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
3012,Der Grüne Altenburger Ziegenrahm mit feinen Kräutern,"1,49 €","0,60 €",Preis pro 100 Gramm,(Becher 250 Gramm),lidl
3013,Schwartau Extra Fruttissima Limited Edition Erdbeere Blutorange,"0,99 €","4,95 €",Preis pro 1 KG,(Packung 200 Gramm),lidl
3014,Kampsen Boulette,"3,99 €","7,98 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
3015,Onko Kaffee klassisch,"4,99 €","9,98 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
3016,Jacobs Meisterröstung,"2,45 €","1,23 €",Preis pro 100 ml,(Flasche (Kunststoff) 200 ML),lidl
3017,Pampers Baby Dry Junior Größe 5 ( 11 - 25 kg ),"2,39 €","4,78 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
3018,Appel Hering zarte Filets Tomate-Barbecue,"26,85 €","22,38 €",Preis pro 100 Stück,"(Karton 120 Stück, 3 x 40 Stück )",lidl
3019,Moskovskaya Russischer Wodka,"1,25 €","0,63 €",Preis pro 100 Gramm,(Dose 200 Gramm),lidl
3020,Persil Color Pulver,"5,79 €","11,58 €",Preis pro 1 Liter,(Flasche (Glas) 0.5 L),lidl
3021,"Frolic Complete & Balanced mit Rind, Karotten, Getreide","19,99 €","0,15 €",Preis pro Waschladung,(Packung 130 Wäschen),lidl
3022,Bacardi Superior Rum,"2,49 €","1,66 €",Preis pro 1 KG,(Packung 1500 Gramm),lidl
3023,Garnier Fructis Spülung Color Schutz,"9,99 €","14,27 €",Preis pro 1 Liter,(Flasche (Glas) 700 ML),lidl
3024,Garnier Fructis Pflege Shampoo Kraft & Glanz 2 in 1,"1,95 €","0,98 €",Preis pro 100 ml,(Flasche (Kunststoff) 200 ML),lidl
3025,Ferrero Garden Sommeredition 18 Pralinen,"1,95 €","7,80 €",Preis pro 1 Liter,(Flasche (Kunststoff) 250 ML),lidl
3026,Oral-B Precision Clean Aufsteckbürsten,"3,79 €","2,49 €",Preis pro 100 Gramm,(Box 152 Gramm),lidl
3027,Stolle Safari Nuggets,"9,99 €","3,33 €",Preis pro Stück,(Packung 3 Stück),lidl
3028,Milka Tender a la Schwarzwälder Kirsch,"1,99 €","4,98 €",Preis pro 1 KG,(Packung 400 Gramm),lidl
3029,Miracoli Linguine Käse Kräuter,"1,69 €","9,14 €",Preis pro 1 KG,"(Packung 185 Gramm, 5 x 37 g)",lidl
3030,Estrella Damm,"2,35 €","0,50 €",Preis pro 100 Gramm,(Packung 474 Gramm),lidl
3031,Master Crumble Joghurt Müsli Erdbeer-Vanillegeschmack,"0,49 €","1,48 €",Preis pro 1 Liter,(Flasche (Glas) 0.33 L),lidl
3032,Belbake Rührkuchen Kiwi,"0,99 €","0,33 €",Preis pro 100 ml,(Flasche (Glas) 300 ML),lidl
3033,Confiserie Firenze Butter Zitronen Torte Butter-Zitrone,"1,19 €","2,98 €",Preis pro 1 KG,(Packung 400 Gramm),lidl
3034,Maitre Jean Pierre  Milchbrötchen 10 Milchbrötchen,"1,99 €","3,98 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
3035,Feldliebe Rotkohl,"1,19 €","3,40 €",Preis pro 1 KG,(Packung 350 Gramm),lidl
3036,Petri Heringsfilet Piri-Mango-Creme,"0,42 €","0,58 €",Preis pro 1 Liter,(Glas 720 ML),lidl
3037,Petri Heringsfilet Tomaten-Barbecue-Creme,"0,85 €","0,43 €",Preis pro 100 Gramm,(Dose 200 Gramm),lidl
3038,Vitakrone Heringsfilets Senf-Sahne mit feinen Senfgurken,"5,99 €","5,82 €",Preis pro 1 KG,(Packung 1030 Gramm),lidl
3039,Vitakrone Salat-Dressing Kräuter,"0,89 €","1,78 €",Preis pro 1 Liter,(Packung 500 ML),lidl
3040,Vitakrone Salat-Dressing French,"0,89 €","1,78 €",Preis pro 1 Liter,(Packung 500 ML),lidl
3041,Trawlic Grill Forelle Küchenfertig,"0,89 €","1,78 €",Preis pro 1 Liter,(Packung 500 ML),lidl
3042,Noblissima Blättereis Cappuccino,"5,99 €","11,52 €",Preis pro 1 KG,"(Packung 520 Gramm, 2 Stück)",lidl
3043,Noblissima Blättereis Schoko Crisp,"2,69 €","3,84 €",Preis pro 1 KG,(Packung 700 Gramm),lidl
3044,Cologran Süßstofftabletten,"2,59 €","1,04 €",Preis pro 100 Gramm,(Packung 250 Gramm),lidl
3045,OPTIDOG Premium Pastete Senior mit Huhn & Reis,"0,89 €","0,07 €",Preis pro 100 Stück,(Dose 1200 Stück),lidl
3046,OPTIDOG Premium Pastete mit Kaninchen & Herz,"0,59 €","0,20 €",Preis pro 100 Gramm,(Schale 300 Gramm),lidl
3047,"Trattoria Alfredo Pizzaschnitten Flammkuchen, 6 x 110 g","0,59 €","0,20 €",Preis pro 100 Gramm,(Schale 300 Gramm),lidl
3048,"Trattoria Alfredo Pizzaschnitten Speciale, 6 x 110 g","2,69 €","0,41 €",Preis pro 100 Gramm,(Packung 660 Gramm),lidl
3049,Vitakrone Lidl Heringsröllchen mit Zwiebeln,"2,69 €","0,41 €",Preis pro 100 Gramm,(Packung 660 Gramm),lidl
3050,Vitakrone Lidl Heringsröllchen mit Peperoni,"1,45 €","1,16 €",Preis pro 100 Gramm,(Becher 125 Gramm),lidl
3051,Vitakrone Lidl Heringsröllchen mit rotem und grünem Pfeffer,"1,45 €","1,16 €",Preis pro 100 Gramm,(Becher 125 Gramm),lidl
3052,"Harvest Basket Semmelknödel in Kochbeutel, 6 Stück","1,79 €","2,39 €",Preis pro 1 KG,(Packung 750 Gramm),lidl
3053,Master Crumble Crunch-Müsli,"1,79 €","2,39 €",Preis pro 1 KG,(Packung 750 Gramm),lidl
3054,Belbake Frischei Waffeln 32% Frischei,"0,55 €","0,22 €",Preis pro 100 Gramm,(Packung 250 Gramm),lidl
3055,Bioness frische Bio Eier Güteklasse A,"2,59 €","0,26 €",Preis pro Stück,(Karton 10 Stück),lidl
3056,Trattoria Alfredo Steinofen Pizza 2-er Vegetale,"2,69 €","3,64 €",Preis pro 1 KG,(Packung 740 Gramm),lidl
3057,"Trattoria Alfredo Steinofen Pizza 2-er Frutti di Mare, 2 x 460 g","2,69 €","2,92 €",Preis pro 1 KG,(Packung 920 Gramm),lidl
3058,El Tequito Tortilla Chips Salz,"0,79 €","0,64 €",Preis pro 1 KG,(Dose 1240 Gramm),lidl
3059,Kania Fix für Salate Salat Dressing Joghurt Kräuter,"1,15 €","0,77 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1.5 L),lidl
3060,doussy Weichspüler Asian Spirit,"1,15 €","0,77 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1.5 L),lidl
3061,"Formil Spezialwaschmittel Black, 41 WL","2,59 €","1,73 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1.5 L),lidl
3062,Kania Gewürze Zimt gemahlen,"0,69 €","1,73 €",Preis pro 100 Gramm,(Streuer 40 Gramm),lidl
3063,Kania Gewürze Paprika edelsüß,"0,69 €","1,38 €",Preis pro 100 Gramm,(Streuer 50 Gramm),lidl
