,Name,Price,Price per,Unit,Packet Size,Supermarket
2467,Borggreve  Spekulatius Gewürz,"1,25 €","0,83 €",Preis pro 100 Gramm,(Packung 150 Gramm),kaufland
2468,Kathi Muffins,"0,89 €","0,15 €",Preis pro 100 Gramm,(Beutel 600 Gramm),kaufland
2469,Kathi Grundmischung Biskuit (2 x 130g),"1,79 €","0,48 €",Preis pro 100 Gramm,(Packung 370 Gramm),kaufland
2470,Geha Backmischung Schneewittchen Kuchen,"0,99 €","0,38 €",Preis pro 100 Gramm,(Packung 260 Gramm),kaufland
2471,K Classic Heringsfilets in Sahne Sauce,"2,29 €","5,26 €",Preis pro 1 KG,(Packung 435 Gramm),kaufland
2472,Baktat Polenta Maisgriess grob gemahlen,"1,29 €","3,23 €",Preis pro 1 KG,(Becher 400 Gramm),kaufland
2473,Pepsi Cola Light,"1,59 €","1,59 €",Preis pro 1 KG,(Packung 1000 Gramm),kaufland
2474,"Windau Schinken Pfeffermett frisch und pikant, 2 x 100 g","0,82 €","0,55 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),kaufland
2475,Ritter Sport Schokolade Pfefferminz,"1,39 €","0,70 €",Preis pro 100 Gramm,(Folie 200 Gramm),kaufland
2476,"Bauer Kinderdrink Banane, 4 x 100 g","0,85 €","0,85 €",Preis pro 100 Gramm,(Tafel 100 Gramm),kaufland
2477,Solfa Sülzwurst,"0,95 €","0,24 €",Preis pro 100 Gramm,(Packung 400 Gramm),kaufland
2478,Ternäben Forellenfilets Knoblauch,"1,45 €","0,91 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland
2479,"Breisgaumilch Fettarme H-Milch Lactosefreie ,1,5% Fett","1,39 €","1,11 €",Preis pro 100 Gramm,(Vakuum 125 Gramm),kaufland
2480,"Favorit Mirabellen mit Stein, gezuckert","0,59 €","0,79 €",Preis pro 1 KG,(Packung 750 Gramm),kaufland
2481,Wurzener Langkornreis lose,"1,29 €","1,79 €",Preis pro 1 Liter,(Glas 720 ML),kaufland
2482,Bernbacher Die Guten Eiernudeln Hörnchen,"0,95 €","1,90 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2483,Bernbacher Die Guten Eiernudeln Ripponi,"0,75 €","3,00 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2484,Bernbacher Die Guten Eiernudeln Schnitt,"0,75 €","3,00 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2485,Bernbacher Die Guten Eiernudeln Gabelspaghetti,"0,75 €","3,00 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2486,Bernbacher Die Guten Eiernudeln Maccaroni,"0,75 €","3,00 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2487,Bernbacher Die Guten Eiernudeln Trompeten,"0,75 €","3,00 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2488,Bernbacher Die Guten Eiernudeln Kordelli,"0,75 €","0,30 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
2489,Bernbacher Die Guten Eiernudeln Schneckerl,"0,75 €","0,30 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
2490,Bernbacher Die Guten Eiernudeln Fusilli,"1,39 €","2,78 €",Preis pro 1 KG,(Beutel 500 Gramm),kaufland
2491,"Bernbacher Die Guten Eiernudeln Riebele, 2 x 125 g","1,39 €","2,78 €",Preis pro 1 KG,(Beutel 500 Gramm),kaufland
2492,"Bernbacher Die Guten Eiernudeln Buchstaben, 2 x 125 g","1,19 €","4,76 €",Preis pro 1 KG,(Beutel 250 Gramm),kaufland
2493,Bernbacher Die Guten Minis Penne,"1,19 €","0,48 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
2494,Burgis Bayerischer Knödelteig fix und fertig,"1,39 €","2,78 €",Preis pro 1 KG,(Beutel 500 Gramm),kaufland
2495,Geha Backmischung Sächsisches Bauernbrot,"1,99 €","0,00 €",Preis pro 100 ml,(Packung 500 Gramm),kaufland
2496,Geha Backmischung Sächsisches Kürbiskernbrot,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2497,Geha Backmischung Sächsisches Mischkornbrot,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2498,Geha Backmischung Sächsisches Vollkornbrot,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2499,Riesa Fitmacher Buchstaben,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2500,"Sachsenmilch Meisterkäse Butterkäse in Scheiben, 50 % Fett","0,89 €","0,36 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
2501,"Heinrichsthaler Käse Elbländer Leicht in Scheiben, 30% Fett","1,45 €","0,73 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
2502,Ostsee Fisch Rollmops Chili,"1,75 €","0,88 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
2503,Vossko Chicken Taccos fertig gebraten,"2,99 €","7,48 €",Preis pro 1 KG,(Packung 400 Gramm),kaufland
2504,Vossko Geflügelstäbchen 9 - 10 Stück,"1,39 €","2,78 €",Preis pro 1 KG,(Beutel 500 Gramm),kaufland
2505,Vossko Hähnchen Fromage,"0,65 €","0,52 €",Preis pro 100 Gramm,(Beutel 125 Gramm),kaufland
2506,Vossko Minis vom Schwein Zigeuner Art,"0,65 €","0,52 €",Preis pro 100 Gramm,(Beutel 125 Gramm),kaufland
2507,Henglein Semmelknödelteig für ca. 4 - 6 Klöße,"1,65 €","2,20 €",Preis pro 1 KG,(Packung 750 Gramm),kaufland
2508,Andechser Natur Bio Schlagsahne 32% Fett,"1,19 €","2,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2509,"Andechser Natur Bio Ziegen-Butterkäse in Scheiben,  48 % Fett","1,09 €","0,55 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
2510,Andechser Natur Bio Ziegencamembert 50% Fett,"2,99 €","23,92 €",Preis pro 1 KG,(Packung 125 Gramm),kaufland
2511,"Nescafe Espresso Sticks 15 x 1,8 g","2,79 €","2,79 €",Preis pro 100 Gramm,(Folie 100 Gramm),kaufland
2512,Ehrmann Almighurt Pfirsich-Maracuja,"2,19 €","4,87 €",Preis pro 100 Gramm,"(Packung 45 Gramm, 25 x 1,8 Gramm)",kaufland
2513,Danone Activia Getreide & Ceralien Müsli,"1,09 €","0,22 €",Preis pro 100 Gramm,(Glas 500 Gramm),kaufland
2514,"Danone Dany Sahne Mousse Schoko, 4 x 80 g","1,99 €","4,33 €",Preis pro 1 KG,(Packung 460 Gramm),kaufland
2515,"Danone Fruchtzwerge Duo Erdbeere-Banane, 4 x 95 g","1,49 €","0,47 €",Preis pro 100 Gramm,(Packung 320 Gramm),kaufland
2516,Danone Obstgarten Pfirsich Maracuja,"1,65 €","0,43 €",Preis pro 100 Gramm,(Packung 380 Gramm),kaufland
2517,Gepa Fairena Bio Blanc,"0,39 €","0,31 €",Preis pro 100 Gramm,(Becher 125 Gramm),kaufland
2518,Gepa Fairena Bio Nuss,"1,39 €","1,39 €",Preis pro 100 Gramm,(Tafel 100 Gramm),kaufland
2519,Pema Bio Dinkelbrot,"1,39 €","1,39 €",Preis pro 100 Gramm,(Tafel 100 Gramm),kaufland
2520,Harry - Brot Knolli Das Kartoffelbrot,"2,69 €","5,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2521,Harry - Brot 1688 Weltmeister geschnitten,"1,29 €","2,58 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2522,"Harry - Brot Toastbrötchen Weizen, 6 Stück","3,42 €","1,73 €",Preis pro 1 Liter,(Pack 1.98 L),kaufland
2523,"Harry - Brot Toastbrötchen Mehrkorn, 6 Stück","1,39 €","0,46 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
2524,Berief Soja Fit Drink Bio Cappuccino,"1,39 €","0,46 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
2525,Kuchenmeister Kuchen Rolle Erdbeer,"1,89 €","1,89 €",Preis pro 1 Liter,(Packung 1 L),kaufland
2526,Geha Backmischung Sächsischer Apfel-Quark Kuchen,"1,09 €","2,73 €",Preis pro 1 KG,(Packung 400 Gramm),kaufland
2527,Bahlsen Stollen Butterstollen,"2,69 €","5,27 €",Preis pro 1 KG,(Packung 510 Gramm),kaufland
2528,Bahlsen Stollen Walnuss,"3,19 €","6,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2529,Heichelheimer Rohe Kartoffelmasse,"3,19 €","6,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
2530,"Milkana Schmelzkäse Gouda Gouda, 45% Fett","1,99 €","0,00 €",Preis pro 1 KG,(),kaufland
2531,Berentzen Milch-Kaffee,"1,89 €","0,95 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
2532,MinusL Kaffeesahne 10 % Fett,"8,99 €","12,84 €",Preis pro 1 Liter,(Flasche (Glas) 700 ML),kaufland
2533,"Dimix Der Diebels Cola Mix 24 x 0,33 L","0,99 €","0,60 €",Preis pro 100 ml,(Flasche (Glas) 165 ML),kaufland
